IP Address (v4/v6),Description,Valid From, Valid Until
79.133.46.209,AA26-097A Iranian-Affiliated Cyber Actors Exploit Programmable Logic Controllers Across US Critical Infrastructure to Cause Disruption,2025-11-13T14:54:34.214Z,
185.82.73.175,AA26-097A Iranian-Affiliated Cyber Actors Exploit Programmable Logic Controllers Across US Critical Infrastructure to Cause Disruption,2026-05-15T12:03:20.483Z,
185.82.73.162,AA26-097A Iranian-Affiliated Cyber Actors Exploit Programmable Logic Controllers Across US Critical Infrastructure to Cause Disruption,2026-03-06T02:23:00.536Z,
192.142.54.79,AA26-097A Iranian-Affiliated Cyber Actors Exploit Programmable Logic Controllers Across US Critical Infrastructure to Cause Disruption,2026-07-08T17:09:33.315Z,
175.110.121.107,AA26-097A Iranian-Affiliated Cyber Actors Exploit Programmable Logic Controllers Across US Critical Infrastructure to Cause Disruption,2026-05-15T12:03:20.440Z,
185.82.73.167,AA26-097A Iranian-Affiliated Cyber Actors Exploit Programmable Logic Controllers Across US Critical Infrastructure to Cause Disruption,2026-03-06T02:23:00.486Z,
88.80.150.200,AA26-097A Iranian-Affiliated Cyber Actors Exploit Programmable Logic Controllers Across US Critical Infrastructure to Cause Disruption,2026-07-20T12:44:31.026Z,
175.110.121.42,AA26-097A Iranian-Affiliated Cyber Actors Exploit Programmable Logic Controllers Across US Critical Infrastructure to Cause Disruption,2026-05-06T16:46:38.494Z,
185.82.73.168,AA26-097A Iranian-Affiliated Cyber Actors Exploit Programmable Logic Controllers Across US Critical Infrastructure to Cause Disruption,2026-04-01T14:14:46.530Z,
185.82.73.171,AA26-097A Iranian-Affiliated Cyber Actors Exploit Programmable Logic Controllers Across US Critical Infrastructure to Cause Disruption,2026-03-06T02:23:00.471Z,
185.82.73.165,AA26-097A Iranian-Affiliated Cyber Actors Exploit Programmable Logic Controllers Across US Critical Infrastructure to Cause Disruption,2026-03-06T02:23:00.446Z,
175.110.121.41,AA26-097A Iranian-Affiliated Cyber Actors Exploit Programmable Logic Controllers Across US Critical Infrastructure to Cause Disruption,2026-05-06T16:46:38.569Z,
141.11.164.153,AA26-097A Iranian-Affiliated Cyber Actors Exploit Programmable Logic Controllers Across US Critical Infrastructure to Cause Disruption,2026-07-20T12:44:30.439Z,
185.82.73.170,AA26-097A Iranian-Affiliated Cyber Actors Exploit Programmable Logic Controllers Across US Critical Infrastructure to Cause Disruption,2026-03-06T02:23:00.520Z,
175.110.121.39,AA26-097A Iranian-Affiliated Cyber Actors Exploit Programmable Logic Controllers Across US Critical Infrastructure to Cause Disruption,2026-05-04T13:05:30.486Z,
88.80.150.202,AA26-097A Iranian-Affiliated Cyber Actors Exploit Programmable Logic Controllers Across US Critical Infrastructure to Cause Disruption,2026-07-20T12:44:31.106Z,
88.80.150.199,AA26-097A Iranian-Affiliated Cyber Actors Exploit Programmable Logic Controllers Across US Critical Infrastructure to Cause Disruption,2026-07-20T12:44:30.921Z,
185.225.17.225,AA26-097A Iranian-Affiliated Cyber Actors Exploit Programmable Logic Controllers Across US Critical Infrastructure to Cause Disruption,2026-07-08T17:09:33.678Z,
185.82.73.164,AA26-097A Iranian-Affiliated Cyber Actors Exploit Programmable Logic Controllers Across US Critical Infrastructure to Cause Disruption,2026-03-06T02:23:00.425Z,
84.200.205.165,AA26-097A Iranian-Affiliated Cyber Actors Exploit Programmable Logic Controllers Across US Critical Infrastructure to Cause Disruption,2026-07-08T17:09:33.465Z,
135.136.1.133,AA26-097A Iranian-Affiliated Cyber Actors Exploit Programmable Logic Controllers Across US Critical Infrastructure to Cause Disruption,2026-04-01T14:14:46.323Z,
