key,value
00:06:dc,Syabas Technology Amquest (rock64 board)
00:1e:06,WIBRAIN (ODROID Hardkernel)
00:c0:08,SECO SRL (UDOO)
00:e0:4c,Realtek RTL8152 USB Ethernet (possible Hak5 LAN Turtle or WiFi Pineapple)
04:91:62,Microchip Technology Inc (nano pi)
0c:fa:22,flipper zero default mac
10:dc:b6,Fuzhou Rockchip Electronics (tinker board)
18:9e:2d,Allwinner-based devices (banana pi)
28:cd:c1,Raspberry Pi Foundation
2c:57:2c,Allwinner-based devices (banana pi)
2c:cf:67,Raspberry Pi Foundation
40:a3:6b,Onion Corporation (Onion omega)
60:c2:2a,Allwinner-based devices (banana pi)
a0:17:f1,Allwinner-based devices (banana pi)
a8:f1:b2,Allwinner-based devices (banana pi)
b8:27:eb,Raspberry Pi Foundation
d8:3a:dd,Raspberry Pi Foundation
dc:44:6d,Allwinner-based devices (banana pi)
dc:a6:32,Raspberry Pi Foundation
e4:5f:01,Raspberry Pi Foundation
00:4b:12,Espressif Inc
00:70:07,Espressif Inc
04:83:08,Espressif Inc
04:b2:47,Espressif Inc
08:3a:8d,Espressif Inc
08:3a:f2,Espressif Inc
08:92:72,Espressif Inc
08:a6:f7,Espressif Inc
08:b6:1f,Espressif Inc
08:d1:f9,Espressif Inc
08:f9:e0,Espressif Inc
0c:4e:a0,Espressif Inc
0c:8b:95,Espressif Inc
0c:b8:15,Espressif Inc
0c:dc:7e,Espressif Inc
10:00:3b,Espressif Inc
10:06:1c,Espressif Inc
10:20:ba,Espressif Inc
10:51:db,Espressif Inc
10:52:1c,Espressif Inc
10:91:a8,Espressif Inc
10:97:bd,Espressif Inc
10:b4:1d,Espressif Inc
10:bd:a3,Espressif Inc
14:08:08,Espressif Inc
14:2b:2f,Espressif Inc
14:33:5c,Espressif Inc
14:63:93,Espressif Inc
14:c1:9f,Espressif Inc
18:8b:0e,Espressif Inc
18:fe:34,Espressif Inc
1c:69:20,Espressif Inc
1c:8f:57,Espressif Inc
1c:9d:c2,Espressif Inc
1c:c3:ab,Espressif Inc
1c:db:d4,Espressif Inc
20:43:a8,Espressif Inc
20:6e:f1,Espressif Inc
20:9b:a9,Espressif Inc
20:e7:c8,Espressif Inc
24:0a:c4,Espressif Inc
24:4c:ab,Espressif Inc
24:58:7c,Espressif Inc
24:62:ab,Espressif Inc
24:6f:28,Espressif Inc
24:a1:60,Espressif Inc
24:b2:de,Espressif Inc
24:d7:eb,Espressif Inc
24:dc:c3,Espressif Inc
24:ec:4a,Espressif Inc
28:05:a5,Espressif Inc
28:37:2f,Espressif Inc
28:56:2f,Espressif Inc
28:84:85,Espressif Inc
2c:3a:e8,Espressif Inc
2c:bc:bb,Espressif Inc
2c:f4:32,Espressif Inc
30:30:f9,Espressif Inc
30:76:f5,Espressif Inc
30:83:98,Espressif Inc
30:ae:a4,Espressif Inc
30:c6:f7,Espressif Inc
30:c9:22,Espressif Inc
30:ed:a0,Espressif Inc
34:5f:45,Espressif Inc
34:85:18,Espressif Inc
34:86:5d,Espressif Inc
34:94:54,Espressif Inc
34:98:7a,Espressif Inc
34:ab:95,Espressif Inc
34:b4:72,Espressif Inc
34:b7:da,Espressif Inc
34:cd:b0,Espressif Inc
38:18:2b,Espressif Inc
38:44:be,Espressif Inc
3c:0f:02,Espressif Inc
3c:61:05,Espressif Inc
3c:71:bf,Espressif Inc
3c:84:27,Espressif Inc
3c:8a:1f,Espressif Inc
3c:dc:75,Espressif Inc
3c:e9:0e,Espressif Inc
40:22:d8,Espressif Inc
40:4c:ca,Espressif Inc
40:91:51,Espressif Inc
40:f5:20,Espressif Inc
44:1b:f6,Espressif Inc
48:9d:31,Espressif Inc
48:e7:29,Espressif Inc
58:cf:79,Espressif Inc
70:af:09,Espressif Inc
88:f1:55,Espressif Inc
8c:8c:29,Espressif Inc
8c:94:df,Espressif Inc
8c:fd:49,Espressif Inc
a0:f2:62,Espressif Inc
a4:cb:8f,Espressif Inc
ac:27:6e,Espressif Inc
b4:bf:e9,Espressif Inc
d4:8a:fc,Espressif Inc
dc:06:75,Espressif Inc
dc:1e:d5,Espressif Inc
e4:65:b8,Espressif Inc
e8:3d:c1,Espressif Inc
f0:16:1d,Espressif Inc
f4:65:0b,Espressif Inc
f8:5b:1b,Espressif Inc
